,ACCP,CONF
1938,Y,
1939,Y,
1940,Y,
1941,Y,
1942,,
1943,,
1944,Y,
1945,Y,
1946,Y,
1947,Y,
1948,,
1949,Y,
1950,Y,
1951,Y,
1952,,
1953,,
1954,,
1955,Y,
1956,Y,
1957,Y,
1958,Y,
1959,,
1960,,
1961,,
1962,,
1963,Y,
1964,,
1965,,
1966,Y,
1967,,
1968,Y,
1969,Y,
1970,,
1971,,
1972,,
1973,Y,
1974,Y,
1975,Y,
1976,,
1977,,
1978,Y,
1979,,
1980,Y,
1981,,
1982,,
1983,,
1984,Y,
1985,,
1986,Y,
1987,,
1988,,
1989,,
1990,Y,
1991,Y,
1992,,
1993,Y,
1994,Y,
1995,Y,
1996,Y,
1997,,
1998,,
1999,,
2000,,
2001,,
2002,Y,
2003,,
2004,Y,
2005,,
2006,,
2007,,
2008,,
2009,,
2010,Y,
2011,,
2012,,
2013,,
2014,,
2015,,
2016,,
2017,,
2018,Y,
2019,,
2020,,
2021,,
2022,,
2023,Y,
2024,Y,
2025,,
2026,,
2027,Y,
2028,,
2029,,
2030,,
2031,Y,
2032,Y,
2033,Y,
2034,Y,
2035,Y,
2036,,
2037,Y,
2038,,
2039,Y,
2040,,
2041,Y,
2042,,
2043,Y,
2044,,
2045,,
2046,,
2047,Y,
2048,,
2049,Y,
2050,Y,Y
2051,Y,Y
2052,Y,Y
2053,Y,Y
2054,Y,Y
2055,Y,Y
2056,Y,Y
2057,Y,Y
2058,Y,Y
2059,Y,Y
2060,Y,Y
2061,Y,Y
2062,Y,Y
2063,Y,Y
2064,Y,Y
2065,Y,Y
2066,Y,Y
2067,Y,
2068,Y,
2069,Y,
2070,Y,
2071,,
2072,,
2073,Y,
2074,Y,
2075,Y,
2076,Y,
2077,Y,
2078,Y,
2079,Y,
2080,Y,
2081,Y,
2082,Y,
2083,Y,
2084,Y,
2085,Y,
2086,Y,
2087,Y,
2088,Y,
2089,,
2090,,
2091,Y,
2092,Y,
2093,,
2094,Y,
2095,,
2096,Y,
2097,Y,
2098,,
2099,Y,
2100,Y,
2101,Y,
2102,,
2103,Y,
2104,,
2105,,
2106,Y,
2107,,
2108,,
2109,Y,
2110,Y,
2111,,
2112,,
2113,Y,
2114,,
2115,Y,
2116,Y,
2117,Y,
2118,Y,
2119,,
2120,Y,
2121,Y,
2122,,
2123,Y,
2124,Y,
2125,Y,
2126,Y,
2127,,
2128,Y,
2129,Y,
2130,Y,
2131,Y,
2132,,
2133,Y,
2134,Y,
2135,,
2136,,
2137,,
2138,Y,
2139,Y,
2140,,
2141,,
2142,,
2143,,
2144,,
2145,Y,
2146,Y,
2147,,
2148,,
2149,Y,
2150,Y,
2151,Y,
2152,Y,
2153,Y,
2154,Y,
2155,,
2156,Y,
2157,,
2158,,
2159,,
2160,,
2161,,
2162,,
2163,Y,
2164,Y,
2165,Y,
2166,Y,
2167,Y,
2168,Y,
2169,,
2170,Y,
2171,Y,
2172,,
2173,,
2174,,
2175,,
2176,Y,
2177,Y,
2178,,
2179,,
2180,Y,
2181,,
2182,Y,
2183,,
2184,,
2185,Y,
2186,Y,
2187,Y,
2188,Y,
2189,Y,
2190,Y,
2191,Y,
2192,Y,
2193,,
2194,Y,
2195,,
2196,,
2197,Y,
2198,Y,
2199,Y,
2200,Y,
2201,,
2202,,
2203,Y,
2204,,
2205,,
2206,,
2207,Y,
2208,,
2209,Y,
2210,Y,
2211,,
2212,Y,
2213,,
2214,Y,
2215,,
2216,,
2217,Y,
2218,Y,
2219,,
2220,,
2221,Y,
2222,Y,
2223,Y,
2224,,
2225,,
2226,Y,
2227,Y,
2228,Y,
2229,,
2230,Y,
2231,Y,
2232,,
2233,Y,Y
2234,Y,Y
2235,Y,Y
2236,Y,Y
2237,Y,Y
2238,Y,Y
2239,Y,Y
2240,Y,Y
2241,Y,Y
2242,Y,Y
2243,Y,Y
2244,Y,Y
2245,Y,Y
2246,Y,Y
2247,Y,Y
2248,Y,Y
2249,Y,Y
2250,Y,Y
2251,Y,Y
2252,Y,Y
2253,Y,Y
2254,Y,Y
2255,Y,Y
2256,Y,Y
2257,,
2258,,
2259,Y,
2260,,
2261,,
2262,Y,
2263,Y,
2264,Y,
2265,,
2266,Y,
2267,Y,
2268,Y,
2269,,
2270,Y,
2271,,
2272,Y,
2273,,
2274,Y,
2275,Y,
2276,,
2277,Y,
2278,Y,
2279,Y,
2280,Y,
2281,,
2282,,
2283,,
2284,,
2285,,
2286,Y,
2287,,
2288,Y,
2289,,
2290,,
2291,,
2292,Y,
2293,,
2294,Y,
2295,Y,
2296,,
2297,Y,
2298,,
2299,,
2300,Y,
2301,Y,
2302,,
2303,Y,
2304,,
2305,,
2306,Y,
2307,Y,
2308,,
2309,Y,
2310,,
2311,,
2312,,
2313,Y,
2314,,
2315,Y,
2316,Y,
2317,,
2318,,
2319,,
2320,,
2321,,
2322,Y,
2323,,
2324,Y,
2325,Y,
2326,Y,
2327,Y,
2328,Y,
2329,Y,
2330,,
2331,,
2332,,
2333,Y,
2334,Y,
2335,Y,
2336,Y,
2337,Y,
2338,Y,
2339,Y,
2340,Y,
2341,Y,
2342,Y,
2343,Y,
2344,Y,
2345,Y,
2346,,
2347,Y,
2348,Y,
2349,Y,
2350,Y,
2351,,
2352,Y,
2353,Y,
2354,Y,
2355,Y,
2356,,
2357,,
2358,,
2359,Y,
2360,Y,
2361,Y,
2362,Y,
2363,Y,
2364,,
2365,Y,
2366,,
2367,Y,
2368,,
2369,Y,
2370,,
2371,Y,
2372,Y,
2373,Y,
2374,,
2375,Y,
2376,Y,
2377,,
2378,,
2379,Y,
2380,,
2381,,
2382,Y,
2383,Y,
2384,,
2385,,
2386,,
